count,quadratic_cost
1223,0.985443
1224,0.9870551
1225,0.9886686
1226,0.9902834
1227,0.9918996
1228,0.99351704
1229,0.9951358
1230,0.9967559
1231,0.99837726
1232,1
